service_policy,risk_multiplier,observations,mean_forecast,mean_adjusted_demand,mean_safety_stock,mean_inventory_target,mean_shortage,mean_excess,mean_fill_rate,mean_coverage,baseline_inventory,baseline_shortage,baseline_fill_rate,inventory_increase_pct,shortage_reduction_pct,fill_rate_improvement_pp
SL80,0.0,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.32797606847238,0.38294868863511544,1.2513754200131824,0.9742433791808818,1.3134264737707138,8.32797606847238,0.38294868863511544,0.9742433791808818,0.0,0.0,0.0
SL80,0.05,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.397955533087886,0.3611860998301079,1.2995922958236807,0.9758435449190741,1.324735626482526,8.32797606847238,0.38294868863511544,0.9742433791808818,0.8402937765447189,5.682899419912508,0.16001657381923273
SL80,0.1,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.467934997703392,0.3406092612481762,1.348994921857255,0.9773373733562877,1.3360447791943388,8.32797606847238,0.38294868863511544,0.9742433791808818,1.6805875530894168,11.056161998580825,0.3093994175405901
SL80,0.15,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.537914462318899,0.3211865992288487,1.3995517244534335,0.9787269004769802,1.3473539319061514,8.32797606847238,0.38294868863511544,0.9742433791808818,2.5208813296341357,16.128032616170014,0.4483521296098414
SL80,0.2,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.607893926934404,0.30289360238773744,1.4512381922278283,0.9800182659437424,1.3586630846179641,8.32797606847238,0.38294868863511544,0.9742433791808818,3.3611751061788335,20.904911969461477,0.5774886762860643
SL80,0.3,100000,7.31114458172683,7.4595493370943124,1.0168314867455492,8.747852856165416,0.26963261804893884,1.5579361371200415,0.9823262669600072,1.381281390041589,8.32797606847238,0.38294868863511544,0.9742433791808818,5.04176265926825,29.590405699011917,0.8082887779125469
SL90,0.0,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,9.556159601051318,0.21442832800351494,2.311038591960521,0.9895247368099582,1.595626749233384,9.556159601051318,0.21442832800351494,0.9895247368099582,0.0,0.0,0.0
SL90,0.05,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,9.636804377524019,0.20015888091674097,2.3774139213464482,0.990306411681728,1.6094021380799473,9.556159601051318,0.21442832800351494,0.9895247368099582,0.8439036165095927,6.654646435773197,0.0781674871769722
SL90,0.1,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,9.717449153996721,0.18686393548730376,2.444763752389712,0.9910180040569593,1.6231775269265105,9.556159601051318,0.21442832800351494,0.9895247368099582,1.6878072330192042,12.85482789184428,0.1493267247001051
SL90,0.15,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,9.798093930469422,0.1745356190838223,2.5130802124589313,0.9916632762500861,1.636952915773074,9.556159601051318,0.21442832800351494,0.9895247368099582,2.531710849528797,18.6042158193943,0.21385394401278734
SL90,0.2,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,9.878738706942123,0.1631308229024598,2.5823201927502697,0.9922517577903742,1.6507283046196373,9.556159601051318,0.21442832800351494,0.9895247368099582,3.3756144660383893,23.92291428034371,0.2727020980415995
SL90,0.3,100000,7.31114458172683,7.4595493370943124,2.2450150193244887,10.040028259887524,0.14286020613128816,2.7233391289245,0.9932752696176563,1.6782790823127638,9.556159601051318,0.21442832800351494,0.9895247368099582,5.063421699057575,33.37624395926532,0.37505328076981037
SL95,0.0,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.021430424945985,0.12046113513610093,3.6823422229877742,0.9957120555970455,1.932343443286546,11.021430424945985,0.12046113513610093,0.9957120555970455,0.0,0.0,0.0
SL95,0.05,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.114799334154185,0.11139423536253164,3.7666442324224025,0.9960960548507339,1.9490615175155899,11.021430424945985,0.12046113513610093,0.9957120555970455,0.8471578153491612,7.526825779389523,0.03839992536884829
SL95,0.1,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.208168243362381,0.10304948087068795,3.8516683871387567,0.9964410908709651,1.965779591744634,11.021430424945985,0.12046113513610093,0.9957120555970455,1.6943156306982903,14.454167516967797,0.07290352739196537
SL95,0.15,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.30153715257058,0.095417403528342,3.9374052190046087,0.9967496800723449,1.9824976659736777,11.021430424945985,0.12046113513610093,0.9957120555970455,2.5414734460474353,20.789885118933753,0.10376244752994257
SL95,0.2,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.394906061778777,0.08850798851079883,4.023864713195263,0.9970244703370686,1.9992157402027217,11.021430424945985,0.12046113513610093,0.9957120555970455,3.3886312613965646,26.52568945926036,0.13124147400231934
SL95,0.3,100000,7.31114458172683,7.4595493370943124,3.7102858432191566,11.581643880195173,0.07659989558283059,4.19869443868369,0.9974811559755079,2.0326518886608094,11.021430424945985,0.12046113513610093,0.9957120555970455,5.082946892094855,36.411112599689915,0.17691003784624515
